timestamp,user_name,user_age,user_gender,neuroticism,extraversion,openness,conscientiousness,agreeableness,bfi_neuroticism,bfi_extraversion,bfi_openness,bfi_conscientiousness,bfi_agreeableness,persona_name,companion_type

2025-04-21_19-58-40,r,unter 18,männlich,35,50,0,5,50,4.0,2.5,3.0,2.5,3.0,Kreativer Entdecker,Transformierendes Objekt
2025-04-21_20-15-39,a,,,33,50,0,5,50,2.0,2.5,3.0,2.0,1.5,Kreativer Entdecker,Transformierendes Objekt
2025-04-21_20-24-40,z	,,,33,50,0,5,50,2.0,3.5,2.5,3.0,3.0,Kreativer Entdecker,Transformierendes Objekt
2025-04-21_21-07-40,u,,,33,50,0,5,50,3,3,3,3,3,Kreativer Entdecker,Transformierendes Objekt
2025-04-21_21-10-41,i§,,,33,50,0,5,50,3,3,3,3,3,Kreativer Entdecker,Transformierendes Objekt
2025-04-21_21-24-19,i,,,33,50,0,5,50,3,3,3,3,3,Kreativer Entdecker,Transformierendes Objekt
2025-04-21_21-29-10,o,,,33,50,0,5,50,3,3,3,3,3,Kreativer Entdecker,Transformierendes Objekt
2025-04-21_21-31-09,p,,,33,50,0,5,50,3,3,3,3,3,Kreativer Entdecker,Transformierendes Objekt
2025-04-21_21-34-28,ü,,,33,50,0,5,50,3,3,3,3,3,Kreativer Entdecker,Transformierendes Objekt
2025-04-21_21-37-36,a,,,33,50,0,5,50,3,3,3,3,3,Kreativer Entdecker,Transformierendes Objekt
2025-04-21_21-40-05,s,,,33,50,0,5,50,3,3,3,3,3,Kreativer Entdecker,Transformierendes Objekt
2025-04-24_23-08-53,kk,,,41,58,41,5,51,1.5,3.5,3.0,3.5,2.5,Sozialer Enthusiast,Interaktives Wesen
2025-04-24_23-41-26,jj,,,33,50,0,5,50,3,3,3,3,3,Kreativer Entdecker,Transformierendes Objekt
2025-04-24_23-50-41,a,,,33,50,0,5,50,3,3,3,3,3,Kreativer Entdecker,Transformierendes Objekt
2025-04-25_00-08-00,d,,,33,50,0,5,50,3.0,2.5,4.5,2.0,2.0,Kreativer Entdecker,Transformierendes Objekt
2025-04-25_10-16-24,Chris,46-55,männlich,34,50,16,71,79,3.0,3.5,3.0,3.5,4.0,Strukturorientierter Planer,Organisationssystem
2025-04-26_11-36-37,p,,,33,50,0,0,64,1.5,2.0,3.0,3.0,3.5,Kreativer Entdecker,Transformierendes Objekt
2025-04-27_11-29-47,ddd,,,33,50,0,0,108,3,3,3,3,3,Kreativer Entdecker,Transformierendes Objekt
2025-04-27_11-44-26,jjjjj,,,33,50,0,0,65,3,3,3,3,3,Kreativer Entdecker,Transformierendes Objekt
2025-04-27_22-03-45,saaa,,,33,50,0,0,50,3,3,3,3,3,Kreativer Entdecker,Transformierendes Objekt
2025-04-27_22-13-21,asdg,,,34,50,46,0,50,3,3,3,3,3,Strukturorientierter Planer,Organisationssystem
